experiment,model,dataset,avg_codebleu,avg_syntax,avg_dataflow,total_samples,csv_file
EXP_1-1_MBPP_After_GEN_100,codegemma_exp1-1_after_gen_v1_100_mbpp,MBPP,0.8771347823667249,0.8628048144450912,0.8914647502883588,98,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_codegemma_exp1-1_after_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_After_GEN_100,codegemma_exp1-1_after_gen_v2_100_mbpp,MBPP,0.8548932547411894,0.8207986536002574,0.8889878558821216,69,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_codegemma_exp1-1_after_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_After_GEN_100,gemini_exp1-1_after_gen_v1_100_mbpp,MBPP,0.9570954601119201,0.9477708879104106,0.9664200323134292,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_gemini_exp1-1_after_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_After_GEN_100,gemini_exp1-1_after_gen_v2_100_mbpp,MBPP,0.9490370368791355,0.9367440596041748,0.961330014154096,92,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_gemini_exp1-1_after_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_After_GEN_100,qwen14_exp1-1_after_gen_v1_100_mbpp,MBPP,0.8467747265807261,0.8726825745661082,0.8208668785953439,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_qwen14_exp1-1_after_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_After_GEN_100,qwen14_exp1-1_after_gen_v2_100_mbpp,MBPP,0.8628037743080508,0.8927486350578591,0.8328589135582429,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_After_GEN_100_qwen14_exp1-1_after_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,codegemma_exp1-1_during_gen_v5_100_mbpp,MBPP,0.42928852134460954,0.3190202267041926,0.5395568159850257,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_codegemma_exp1-1_during_gen_v5_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,codegemma_exp1-1_during_gen_v6_100_mbpp,MBPP,0.3999429256787952,0.2695685389881712,0.5303173123694185,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_codegemma_exp1-1_during_gen_v6_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,gemini_exp1-1_during_gen_v5_100_mbpp,MBPP,0.44757793035446825,0.2926864614432512,0.6024693992656852,96,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_gemini_exp1-1_during_gen_v5_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,gemini_exp1-1_during_gen_v6_100_mbpp,MBPP,0.4461397926821029,0.29524321728459535,0.5970363680796104,98,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_gemini_exp1-1_during_gen_v6_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,qwen14_exp1-1_during_gen_v5_100_mbpp,MBPP,0.46983558978344847,0.3437758523643786,0.5958953272025186,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_qwen14_exp1-1_during_gen_v5_100_mbpp_codebleu_ast_dataflow.csv
EXP_1-1_MBPP_With_Comments_100,qwen14_exp1-1_during_gen_v6_100_mbpp,MBPP,0.46824791017216016,0.3431129776165338,0.5933828427277864,100,results/experiment_codebleu_ast_dataflow/EXP_1-1_MBPP_With_Comments_100_qwen14_exp1-1_during_gen_v6_100_mbpp_codebleu_ast_dataflow.csv
EXP_1_MBPP_100,codegemma_exp1_dgen_v1_100,MBPP,0.41555047297196085,0.30015237714993687,0.5309485687939846,100,results/experiment_codebleu_ast_dataflow/EXP_1_MBPP_100_codegemma_exp1_dgen_v1_100_codebleu_ast_dataflow.csv
EXP_1_MBPP_100,codegemma_exp1_dgen_v2_100,MBPP,0.41555047297196085,0.30015237714993687,0.5309485687939846,100,results/experiment_codebleu_ast_dataflow/EXP_1_MBPP_100_codegemma_exp1_dgen_v2_100_codebleu_ast_dataflow.csv
EXP_1_MBPP_100,gemini_exp1_dgen_v1_100,MBPP,0.44079245384845694,0.3032788619323101,0.5783060457646036,95,results/experiment_codebleu_ast_dataflow/EXP_1_MBPP_100_gemini_exp1_dgen_v1_100_codebleu_ast_dataflow.csv
EXP_1_MBPP_100,gemini_exp1_dgen_v2_100,MBPP,0.4459510139154017,0.31469494998918485,0.5772070778416181,75,results/experiment_codebleu_ast_dataflow/EXP_1_MBPP_100_gemini_exp1_dgen_v2_100_codebleu_ast_dataflow.csv
EXP_1_MBPP_100,qwen14b_exp1_dgen_v1_100,MBPP,0.4582190769723964,0.335781449203761,0.5806567047410315,100,results/experiment_codebleu_ast_dataflow/EXP_1_MBPP_100_qwen14b_exp1_dgen_v1_100_codebleu_ast_dataflow.csv
EXP_1_MBPP_100,qwen14b_exp1_dgen_v2_100,MBPP,0.4661856932072844,0.3442395187215939,0.5881318676929748,100,results/experiment_codebleu_ast_dataflow/EXP_1_MBPP_100_qwen14b_exp1_dgen_v2_100_codebleu_ast_dataflow.csv
EXP_2-1_2-2_V1_V2_MBPP,gemini_exp2-1_during_gen_v1_100_mbpp,MBPP,0.4442189335932345,0.29017751820081383,0.5982603489856549,94,results/experiment_codebleu_ast_dataflow/EXP_2-1_2-2_V1_V2_MBPP_gemini_exp2-1_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_2-1_2-2_V1_V2_MBPP,gemini_exp2-1_during_gen_v2_188_mbpp,MBPP,0.4529210399731104,0.29686388877540937,0.6089781911708116,188,results/experiment_codebleu_ast_dataflow/EXP_2-1_2-2_V1_V2_MBPP_gemini_exp2-1_during_gen_v2_188_mbpp_codebleu_ast_dataflow.csv
EXP_2-1_2-2_V1_V2_MBPP,gemini_exp2-2_during_gen_v1_100_mbpp,MBPP,0.4527605256379092,0.28951872553957375,0.6160023257362442,96,results/experiment_codebleu_ast_dataflow/EXP_2-1_2-2_V1_V2_MBPP_gemini_exp2-2_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_2-1_2-2_V1_V2_MBPP,gemini_exp2-2_during_gen_v2_100_mbpp,MBPP,0.4608509873588247,0.2943381262807491,0.6273638484369004,98,results/experiment_codebleu_ast_dataflow/EXP_2-1_2-2_V1_V2_MBPP_gemini_exp2-2_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_2-1_2-2_V1_V2_MBPP,qwen14_exp2-1_during_gen_v1_100_mbpp,MBPP,0.45794194325557647,0.31332430648162374,0.6025595800295288,100,results/experiment_codebleu_ast_dataflow/EXP_2-1_2-2_V1_V2_MBPP_qwen14_exp2-1_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_2-1_2-2_V1_V2_MBPP,qwen14_exp2-1_during_gen_v2_100_mbpp,MBPP,0.473388111207963,0.3175848808059888,0.6291913416099371,100,results/experiment_codebleu_ast_dataflow/EXP_2-1_2-2_V1_V2_MBPP_qwen14_exp2-1_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_2-1_2-2_V1_V2_MBPP,qwen14_exp2-2_during_gen_v1_100_mbpp,MBPP,0.4515334319437986,0.3025782684922039,0.6004885953953929,92,results/experiment_codebleu_ast_dataflow/EXP_2-1_2-2_V1_V2_MBPP_qwen14_exp2-2_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_2_V1_V2,gemini_exp2_during_gen_v1_100_mbpp,MBPP,0.4543688837360618,0.28603044776220105,0.6227073197099225,92,results/experiment_codebleu_ast_dataflow/EXP_2_V1_V2_gemini_exp2_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_2_V1_V2,gemini_exp2_during_gen_v2_100_mbpp,MBPP,0.45796161302996014,0.3013672304370166,0.6145559956229036,92,results/experiment_codebleu_ast_dataflow/EXP_2_V1_V2_gemini_exp2_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_2_V1_V2,openai_exp2_during_gen_v1_100_mbpp,MBPP,0.44197969161232353,0.3026242269745801,0.5813351562500667,100,results/experiment_codebleu_ast_dataflow/EXP_2_V1_V2_openai_exp2_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_2_V1_V2,openai_exp2_during_gen_v2_100_mbpp,MBPP,0.4738967730675548,0.3438488629194323,0.603944683215677,99,results/experiment_codebleu_ast_dataflow/EXP_2_V1_V2_openai_exp2_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_2_V1_V2,qwen14_exp2_during_gen_v1_100_mbpp,MBPP,0.4463869176892946,0.3095138184318327,0.5832600169467564,100,results/experiment_codebleu_ast_dataflow/EXP_2_V1_V2_qwen14_exp2_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_2_V1_V2,qwen14_exp2_during_gen_v2_100_mbpp,MBPP,0.4534179348594792,0.32780623390753205,0.579029635811426,100,results/experiment_codebleu_ast_dataflow/EXP_2_V1_V2_qwen14_exp2_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_1_2_3_V1_V2_MBPP,claude_exp3-1_during_gen_v1_100_mbpp,MBPP,0.4770019910844879,0.33011250987820434,0.6238914722907712,100,results/experiment_codebleu_ast_dataflow/EXP_3_1_2_3_V1_V2_MBPP_claude_exp3-1_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-1_during_gen_v1_100_mbpp,MBPP,0.47900303142924605,0.321779553651358,0.6362265092071341,97,results/experiment_codebleu_ast_dataflow/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-1_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-1_during_gen_v2_100_mbpp,MBPP,0.469757560646996,0.3051025950197671,0.6344125262742248,84,results/experiment_codebleu_ast_dataflow/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-1_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-2_during_gen_v1_100_mbpp,MBPP,0.472536472864417,0.3212195753651607,0.6238533703636733,100,results/experiment_codebleu_ast_dataflow/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-2_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-2_during_gen_v2_100_mbpp,MBPP,0.4657601341565976,0.30142561950417746,0.6300946488090178,98,results/experiment_codebleu_ast_dataflow/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-2_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-2_during_gen_v3_100_mbpp,MBPP,0.4745040086521445,0.31451468191567117,0.6344933353886176,95,results/experiment_codebleu_ast_dataflow/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-2_during_gen_v3_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_1_2_3_V1_V2_MBPP,gemini_exp3-3_during_gen_v1_100_mbpp,MBPP,0.4637016991360061,0.3025521687372053,0.6248512295348071,100,results/experiment_codebleu_ast_dataflow/EXP_3_1_2_3_V1_V2_MBPP_gemini_exp3-3_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_V1_V2_MBPP,gemini_exp3-1_during_gen_v1_100_mbpp,MBPP,0.47900303142924605,0.321779553651358,0.6362265092071341,97,results/experiment_codebleu_ast_dataflow/EXP_3_V1_V2_MBPP_gemini_exp3-1_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_V1_V2_MBPP,gemini_exp3-1_during_gen_v2_100_mbpp,MBPP,0.469757560646996,0.3051025950197671,0.6344125262742248,84,results/experiment_codebleu_ast_dataflow/EXP_3_V1_V2_MBPP_gemini_exp3-1_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_V1_V2_MBPP,gemini_exp3_during_gen_v1_100_mbpp,MBPP,0.46178770494280785,0.2954675108672212,0.6281078990183945,97,results/experiment_codebleu_ast_dataflow/EXP_3_V1_V2_MBPP_gemini_exp3_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_V1_V2_MBPP,gemini_exp3_during_gen_v1_2_mbpp,MBPP,0.42210950508020695,0.3624376336421953,0.4817813765182186,2,results/experiment_codebleu_ast_dataflow/EXP_3_V1_V2_MBPP_gemini_exp3_during_gen_v1_2_mbpp_codebleu_ast_dataflow.csv
EXP_3_V1_V2_MBPP,gemini_exp3_during_gen_v2_100_mbpp,MBPP,0.46950670084560336,0.2938500646791048,0.6451633370121017,95,results/experiment_codebleu_ast_dataflow/EXP_3_V1_V2_MBPP_gemini_exp3_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_V1_V2_MBPP,qwen14_exp3-1_during_gen_v1_100_mbpp,MBPP,0.48777104525263776,0.3548042958350295,0.6207377946702458,98,results/experiment_codebleu_ast_dataflow/EXP_3_V1_V2_MBPP_qwen14_exp3-1_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_V1_V2_MBPP,qwen14_exp3-1_during_gen_v2_100_mbpp,MBPP,0.46040496429963135,0.3398546403938649,0.5809552882053979,100,results/experiment_codebleu_ast_dataflow/EXP_3_V1_V2_MBPP_qwen14_exp3-1_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_V1_V2_MBPP,qwen14_exp3_1_during_gen_v1_100_mbpp,MBPP,0.45327991177822613,0.3220072277528289,0.5845525958036233,99,results/experiment_codebleu_ast_dataflow/EXP_3_V1_V2_MBPP_qwen14_exp3_1_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_V1_V2_MBPP,qwen14_exp3_during_gen_v1_100_mbpp,MBPP,0.4574332801664774,0.32758546637654673,0.5872810939564079,66,results/experiment_codebleu_ast_dataflow/EXP_3_V1_V2_MBPP_qwen14_exp3_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_3_V1_V2_MBPP,qwen14_exp3_during_gen_v2_100_mbpp,MBPP,0.46211910676844026,0.33258176529390354,0.591656448242977,100,results/experiment_codebleu_ast_dataflow/EXP_3_V1_V2_MBPP_qwen14_exp3_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_X_1_V1_V2_V3,gemini_expX-1_during_gen_v1_100_mbpp,MBPP,0.4273012951767612,0.2825815554950876,0.5720210348584345,100,results/experiment_codebleu_ast_dataflow/EXP_X_1_V1_V2_V3_gemini_expX-1_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_X_1_V1_V2_V3,gemini_expX-1_during_gen_v2_100_mbpp,MBPP,0.4218344708233323,0.26987814204369387,0.5737907996029705,100,results/experiment_codebleu_ast_dataflow/EXP_X_1_V1_V2_V3_gemini_expX-1_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_X_1_V1_V2_V3,gemini_expX-1_during_gen_v3_100_mbpp,MBPP,0.4253211714279685,0.29676262791410063,0.5538797149418364,99,results/experiment_codebleu_ast_dataflow/EXP_X_1_V1_V2_V3_gemini_expX-1_during_gen_v3_100_mbpp_codebleu_ast_dataflow.csv
EXP_X_1_V1_V2_V3,qwen14_expX-1_during_gen_v1_100_mbpp,MBPP,0.3928440730065382,0.2632711688822697,0.5224169771308066,100,results/experiment_codebleu_ast_dataflow/EXP_X_1_V1_V2_V3_qwen14_expX-1_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
EXP_X_1_V1_V2_V3,qwen14_expX-1_during_gen_v2_100_mbpp,MBPP,0.3845939125594712,0.2599043290151928,0.5092834961037499,100,results/experiment_codebleu_ast_dataflow/EXP_X_1_V1_V2_V3_qwen14_expX-1_during_gen_v2_100_mbpp_codebleu_ast_dataflow.csv
EXP_X_1_V1_V2_V3,qwen14_expX-1_during_gen_v3_100_mbpp,MBPP,0.4152573951650227,0.29188026330809563,0.53863452702195,100,results/experiment_codebleu_ast_dataflow/EXP_X_1_V1_V2_V3_qwen14_expX-1_during_gen_v3_100_mbpp_codebleu_ast_dataflow.csv
claude_exp4_during_gen_v1_164_humaneval,claude_exp4_during_gen_v1_164_humaneval,HumanEval,0.4809957714483799,0.42809371068303986,0.5338978322137193,164,results/experiment_codebleu_ast_dataflow/claude_exp4_during_gen_v1_164_humaneval_codebleu_ast_dataflow.csv
gemini_exp4_during_gen_v1_161_humaneval,gemini_exp4_during_gen_v1_161_humaneval,HumanEval,0.4820319092808193,0.43003307101720334,0.534030747544435,161,results/experiment_codebleu_ast_dataflow/gemini_exp4_during_gen_v1_161_humaneval_codebleu_ast_dataflow.csv
gemini_exp4_during_gen_v1_40_humaneval,gemini_exp4_during_gen_v1_40_humaneval,HumanEval,0.48090035142493787,0.44986236825572856,0.5119383345941472,40,results/experiment_codebleu_ast_dataflow/gemini_exp4_during_gen_v1_40_humaneval_codebleu_ast_dataflow.csv
gemini_exp5_during_gen_v1_100_mbpp,gemini_exp5_during_gen_v1_100_mbpp,MBPP,0.45781845620865264,0.28951285345885786,0.626124058958448,97,results/experiment_codebleu_ast_dataflow/gemini_exp5_during_gen_v1_100_mbpp_codebleu_ast_dataflow.csv
